train_loss,val_loss
1.8199170612814752,1.6382972185753963
1.4663425870239735,1.3757343608886003
1.2874285602434115,1.238607229622589
1.161605418829078,1.1549378936178982
1.0689771298996427,1.1244133869186044
0.9963564477352933,1.06583232620985
0.9319494874216616,1.0576060464055361
0.874375292184678,1.0751522480383178
0.823406861925667,1.064450952901759
0.7686494737016883,1.01072690426372
0.7166872052899138,1.0572233953386208
0.6616845913654701,1.0701382187279789
0.6107685151509941,1.1406074740331282
